Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
456,-0.2595,-0.0687,1.1603,-0.09911843,-0.11744537,0.98800411,15.99951,15.99951,15.11230
458,-0.2977,0.0458,1.0305,-0.08639967,-0.14441871,0.98573455,15.99951,15.99951,15.11230
460,-0.3893,0.1298,0.9237,-0.08307591,-0.16022162,0.98346252,15.99951,15.99951,15.11230
462,-0.3130,0.0000,0.7328,-0.07428657,-0.20510559,0.97589025,15.99951,15.99951,15.11230
464,-0.1450,-0.0840,0.7176,-0.06706396,-0.21253254,0.97484054,15.99951,15.99951,15.11230
466,0.3359,-0.2672,0.7099,-0.04431162,-0.20424327,0.97789783,15.99951,15.99951,15.11230
468,0.4656,-0.0458,0.6183,-0.02119597,-0.17679714,0.98394489,15.99951,15.99951,15.11230
470,0.3664,0.0534,0.5725,-0.01417159,-0.16373040,0.98636484,15.99951,15.99951,15.11230
472,-0.0305,0.1603,0.4504,-0.00441089,-0.15052670,0.98853530,15.99951,15.99951,15.11230
474,-0.2290,0.0076,0.2595,0.01248252,-0.15480148,0.98776063,15.99951,15.99951,15.11230
476,0.1221,0.0153,0.0305,0.03491411,-0.14926867,0.98817625,15.99951,15.99951,15.11230
478,0.3206,-0.0916,0.0458,0.05462663,-0.11900749,0.99132738,15.99951,15.99951,15.11230
480,0.3359,-0.0840,0.0305,0.06429171,-0.10209418,0.99265518,15.99951,15.99951,15.11230
482,0.2214,-0.1069,-0.0229,0.08117835,-0.06801989,0.99437704,15.99951,15.99951,15.11230
484,0.1679,-0.1527,-0.0992,0.09597766,-0.04122272,0.99441757,15.99951,15.99951,15.11230
486,0.3588,-0.2366,-0.1527,0.11253679,-0.00667559,0.99360065,15.99951,15.99951,15.11230
488,0.5344,-0.2672,-0.1679,0.13152701,0.04299968,0.99027395,15.99951,15.99951,15.11230
490,0.5802,-0.2290,-0.1985,0.13992068,0.07045079,0.98754835,15.99951,15.99951,15.11230
492,0.3969,-0.2061,-0.3130,0.15132799,0.12304345,0.98072404,15.99951,15.99951,15.11230
494,0.0611,-0.1603,-0.4656,0.15607738,0.15811735,0.97488527,15.99951,15.99951,15.11230
496,-0.1374,-0.1145,-0.6183,0.15315172,0.17720282,0.97214422,15.99951,15.99951,15.11230
498,-0.1756,-0.1145,-0.7939,0.14428935,0.18776988,0.97152070,15.99951,15.99951,15.11230
500,-0.1756,-0.1527,-0.8855,0.13893411,0.19194137,0.97151365,15.99951,15.99951,15.11230
502,0.1145,-0.3130,-0.9542,0.13017247,0.20726206,0.96947050,15.99951,15.99951,15.11230
504,0.4580,-0.5496,-0.9160,0.13546898,0.24286127,0.96052885,15.99951,15.99951,15.11230
506,0.3664,-0.5649,-0.9695,0.13957998,0.26069233,0.95515403,15.99951,15.99951,15.11230
508,0.0534,-0.6794,-1.0229,0.15537239,0.28650445,0.94529304,15.99951,15.99951,15.11230
